序号,第一个字,第二个字
1,老,师
2,课,本
3,铅,笔
4,写,字
5,树,木
6,白,天
7,种,子
8,祖,国
9,蓝,天
10,云,朵
11,大,海
12,太,阳
13,美,丽
14,月,亮
15,回,答
16,世,界
17,车,站
18,中,间
19,书,架
20,图,书
21,苹,果
22,土,地
23,雪,白
24,洒,水
25,扫,地
26,桌,子
27,黄,河
28,尾,巴
29,游,戏
30,下,雨
31,玉,米
32,雨,衣
33,秋,天
34,排,队
35,早,操
36,阳,光
37,树,枝
38,花,朵
39,安,全
40,千,万
41,马,路
42,声,音
43,山,村
44,前,后
45,左,右
46,大,小
47,老,虎
48,大,象
49,小,河
50,双,手
51,劳,动
52,乌,鸦
53,瓶,子
54,办,法
55,到,处
56,屋,顶
57,辛,苦
58,母,鸡
59,除,草
60,米,饭
61,幸,福
62,冬,天
63,红,色
64,叶,子
65,围,巾
66,衣,柜
67,本,领
68,下,雪
69,画,家
70,梅,花
71,睡,觉
72,长,大
73,眼,泪
74,孩,子
75,怎,样
76,头,发
77,高,兴
78,元,宵
79,汤,圆
80,团,圆
81,花,灯
82,眼,睛
83,节,目
84,粉,红
85,漂,亮
86,远,方
87,家,乡
88,生,活
89,空,中
90,大,人
91,湖,边
92,居,住
93,房,子
94,散,步
95,故,乡
96,明,月
97,月,光
98,温,暖
99,轻,柔
100,抚,摸
101,活,泼
102,青,山
103,白,云
104,农,民
105,风,雨
106,多,少
107,春,天
108,帮,忙
109,张,开
110,珍,珠
111,童,话
112,浪,花
113,音,乐
114,泥,土
115,暖,和
116,外,面
117,春,风
118,唱,歌
119,热,闹
120,光,明
121,西,瓜
122,波,浪
123,珍,奇
124,可,爱
125,耳,朵
126,动,物
127,纪,念
128,名,字
129,鲜,花
130,台,阶
131,作,业
132,昨,天
133,爱,护
134,蝴,蝶
135,菜,园
136,发,现
137,认,真
138,仔,细
139,丢,掉
140,钓,鱼
141,看,见
142,汽,车
143,面,包
144,司,机
145,着,火
146,受,伤
147,火,灾
148,课,文
149,喜,欢
150,同,学
151,故,事
152,青,蛙
153,招,呼
154,彩,虹
155,遥,远
156,巨,大
157,春,雨
158,衣,服
159,满,足
160,朋,友
161,实,现
162,牛,奶
163,喇,叭
164,乌,龟
165,想,法
166,伤,心
167,感,觉
168,风,雪
169,火,柴
170,棉,衣
171,什,么
172,注,视
173,天,文
174,银,河
175,祖,先
176,分,组
177,假,如
178,雨,点
179,努,力
180,伤,悲
181,闹,钟
182,休,息
183,任,务
184,已,经
185,起,床
186,我,们
187,日,夜
188,急,忙
189,答,应
190,摇,头
191,森,林
192,萝,卜
193,围,墙
194,问,路
195,垃,圾
196,姓,名
197,笑,容
198,记,住
199,事,情
200,委,屈
201,回,家
202,迷,路
203,害,怕
204,保,护
205,广,播
206,独,自
207,许,多
208,苦,恼
209,帮,助
210,花,丛
211,蜜,蜂
212,庄,稼
213,暑,假
214,青,草
215,红,花
216,飞,鸟
217,纯,净
218,阵,雨
219,柳,枝
220,水,井
221,乡,亲
222,上,面
223,告,诉
224,壮,观
225,非,常
226,上,学
227,伙,伴
228,天,空
229,高,山
230,清,凉
231,田,野
232,果,园
233,香,甜
234,计,算
235,大,家
236,身,边
237,从,前
238,孤,单
239,邻,居
240,后,来
241,跳,绳
242,原,来
243,勇,气
244,胆,量
245,草,原
246,高,原
247,节,日
248,眉,毛
249,肚,子
250,蜻,蜓
251,蚂,蚁
252,蜘,蛛
253,夕,阳
254,严,寒
255,古,今
256,身,体
257,操,场
258,善,良
259,清,泉
260,足,迹
261,流,水
262,消,息
263,山,坡
264,连,忙
265,织,女
266,凉,席
267,检,查
268,平,安
269,决,定
270,迟,到
271,注,意
272,鬼,脸
273,狗,熊
274,准,时
275,笑,声
276,跑,步
277,棉,花
278,生,病
279,害,虫
280,逃,命
281,洗,澡
282,考,拉
283,阅,读
284,读,书
285,快,乐
